,time,open,high,low,close,amount,end_time,volume,count,buy_amount,buy_volume,null
1650,1615348800000.0,53557.14,53880.0,53408.94,53700.0,10227.793,1615352399999.0,548618473.2756,109492.0,5400.084,289757050.09999,0.0
1651,1615352400000.0,53700.0,53737.37,53061.0,53696.32,10871.844,1615355999999.0,581965826.53769,117453.0,4932.115,264116156.27736,0.0
1652,1615356000000.0,53696.32,54100.0,53561.24,53896.86,10236.01,1615359599999.0,551159226.54669,103118.0,5327.401,286873167.72437,0.0
1653,1615359600000.0,53896.85,54441.63,53869.02,54190.9,8618.137,1615363199999.0,466964654.40604,101465.0,4334.54,234867558.17617,0.0
1654,1615363200000.0,54202.1,54769.13,54076.47,54662.89,10858.968,1615366799999.0,591998934.63302,130395.0,5408.699,294921299.14323,0.0
1655,1615366800000.0,54662.9,55518.36,54340.0,55282.48,17449.979,1615370399999.0,959519836.3176,194006.0,9025.691,496415630.08756,0.0
1656,1615370400000.0,55282.48,55443.0,54761.0,54908.44,13041.535,1615373999999.0,717780386.01338,149330.0,5903.561,324990422.83546,0.0
1657,1615374000000.0,54908.44,55055.0,54580.0,54924.75,11409.982,1615377599999.0,625652298.10101,133134.0,5407.026,296542806.01058,0.0
1658,1615377600000.0,54927.99,55591.15,54899.75,55279.99,15329.36,1615381199999.0,846951208.54996,179876.0,7819.294,432045689.31219,0.0
1659,1615381200000.0,55277.06,56437.95,55194.0,56336.37,24217.602,1615384799999.0,1353949431.32039,274461.0,13061.869,730310595.79749,0.0
1660,1615384800000.0,56336.37,56463.5,55830.0,56136.55,17937.429,1615388399999.0,1006625570.97666,216319.0,8544.387,479582254.78841,0.0
1661,1615388400000.0,56136.55,56592.18,56005.0,56373.52,16345.615,1615391999999.0,919973104.54027,187531.0,8105.582,456298488.56025,0.0
1662,1615392000000.0,56374.82,57197.63,56152.32,57115.5,22551.107,1615395599999.0,1277317029.75382,246146.0,12058.486,683310986.12132,0.0
1663,1615395600000.0,57115.5,57220.0,56405.2,56933.32,20539.962,1615399199999.0,1168098432.84763,229203.0,9330.699,530703231.77325,0.0
1664,1615399200000.0,56933.32,57250.0,56623.8,56807.42,13962.987,1615402799999.0,794211070.88642,155088.0,6850.366,389757153.79336,0.0
1665,1615402800000.0,56807.41,57500.92,56650.02,56831.08,18001.735,1615406399999.0,1027695328.5015,193207.0,9007.107,514400556.70108,0.0
1666,1615406400000.0,56824.98,56950.0,56110.2,56338.45,18935.046,1615409999999.0,1069475122.64183,212595.0,8365.736,472649604.32091,0.0
1667,1615410000000.0,56338.45,57140.0,55613.41,57002.56,22577.961,1615413599999.0,1271269309.24461,257862.0,11306.506,636912536.05012,0.0
1668,1615413600000.0,57003.62,57317.0,56579.07,56988.53,11738.406,1615417199999.0,668434824.98816,154215.0,5683.211,323686497.37483,0.0
1669,1615417200000.0,56988.54,57032.53,55890.86,55947.98,18760.758,1615420799999.0,1056201648.41743,223331.0,8760.895,493265776.71898,0.0
1670,1615420800000.0,55949.3,56604.75,55565.01,55710.66,16141.708,1615424399999.0,904517233.85272,207491.0,7736.678,433706143.43484,0.0
1671,1615424400000.0,55710.65,56050.0,55262.94,55863.47,14038.671,1615427999999.0,780302692.98741,169537.0,6673.663,371114735.86851,0.0
1672,1615428000000.0,55863.48,56422.75,55732.18,56402.72,8795.62,1615431599999.0,493431562.70424,108658.0,4298.825,241244487.58495,0.0
1673,1615431600000.0,56402.72,56564.81,55682.0,56083.22,9448.522,1615435199999.0,529694013.28394,111759.0,4252.575,238416328.9482,0.0
1674,1615435200000.0,56083.22,56260.59,55711.0,55925.01,8368.599,1615438799999.0,468246093.18747,105062.0,3897.974,218151708.85486,0.0
1675,1615438800000.0,55925.0,55925.0,55283.87,55365.8,9016.29,1615442399999.0,500719388.56465,107159.0,4035.98,224173975.38721,0.0
1676,1615442400000.0,55365.8,55836.0,55100.0,55634.85,10317.974,1615445999999.0,572444664.51322,124804.0,5091.892,282557513.17192,0.0
